#Data tag : 23v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/ub),recorded(/ub)
355374:7960,07/10/22 14:22:13,26,26,172110.400849877,109040.052161433
355381:7960,07/10/22 18:11:05,358,358,2617884.208727771,2161436.248153246
355418:7963,07/11/22 13:05:52,41,41,240894.708781698,233643.468234242
355419:7963,07/11/22 13:24:08,98,98,494142.338140906,481643.413266251
355429:7965,07/11/22 16:43:03,48,48,373894.016886213,339414.273092192
355435:7966,07/11/22 19:21:08,43,43,344629.594004699,234417.273826518
355442:7966,07/11/22 20:14:11,22,22,184816.113302240,134762.914166516
355443:7966,07/11/22 20:25:07,240,240,2034840.129070061,1947340.960740386
355444:7966,07/11/22 21:59:14,153,153,1293593.414193937,1241446.790865640
355445:7966,07/11/22 23:00:53,242,242,1578887.280783976,1529146.918058709
355454:7967,07/12/22 03:37:54,81,81,537229.065354849,520126.284134223
355455:7967,07/12/22 04:14:05,40,39,261160.584892183,249535.348319478
355456:7967,07/12/22 04:34:24,501,501,3132904.903088903,3099821.507837454
355558:7969,07/13/22 02:56:21,288,288,12383654.320233557,11692640.695720941
355559:7969,07/13/22 04:50:34,162,162,7160206.920799217,6823164.751702921
355679:7978,07/14/22 18:58:45,59,59,1163743.276844806,1121648.148137955
355680:7978,07/14/22 19:24:25,1651,1651,50408347.406999588,48475784.012853526
355768:8007,07/18/22 05:28:57,45,45,1351593.798932793,1219954.072749164
355769:8007,07/18/22 05:48:39,541,541,16994793.860268943,16070726.760373233
355862:8016,07/19/22 20:12:03,13,13,801703.258579340,633498.439759601
355863:8016,07/19/22 20:19:43,14,14,850042.899920369,746212.998093984
355870:8017,07/20/22 01:02:43,37,37,1831777.806581046,1582416.192547568
355871:8017,07/20/22 01:17:54,5,5,169357.830981528,150368.337797565
355872:8017,07/20/22 01:24:45,1197,1197,78775993.738412768,70488309.772918701
355892:8018,07/20/22 12:25:02,184,184,11419037.413957326,10924100.555811651
355912:8019,07/20/22 16:18:53,158,158,10130361.825803190,9105790.393327417
355913:8019,07/20/22 17:22:09,106,106,6395754.751928863,5910435.854229295
355921:8020,07/20/22 20:50:02,405,405,24881478.580218509,23070979.746235315
355933:8022,07/21/22 04:06:05,374,374,725258.646155031,718043.597503429
355942:8023,07/21/22 08:46:45,187,187,1465970.165668755,1382171.710741567
355988:8027,07/22/22 01:03:32,44,44,3475335.358932687,2814870.136623978
355989:8027,07/22/22 01:23:47,24,24,2304640.946506742,1283056.430763026
355998:8027,07/22/22 03:35:51,35,35,3112013.673354374,2680706.560935417
355999:8027,07/22/22 03:51:17,9,9,783875.332875666,653935.830652272
356004:8027,07/22/22 06:04:14,19,19,1432146.130982857,1374191.177711733
356005:8027,07/22/22 06:14:46,187,187,12780130.051138883,12309615.596152341
356043:8030,07/22/22 20:00:07,65,65,6908230.766161348,5652924.350293086
356071:8033,07/23/22 14:43:15,155,155,17640063.964420430,15477845.558866510
356074:8033,07/23/22 17:21:04,26,26,3214171.100782041,3039891.241976838
356075:8033,07/23/22 17:57:05,125,125,15322270.120477905,14082542.640932679
356076:8033,07/23/22 18:56:57,153,152,19002306.714130174,17350315.001102470
356077:8033,07/23/22 19:58:32,472,472,52550046.117013812,50371355.544392683
356135:8043,07/25/22 13:06:59,26,26,2918689.034914749,2655548.779514392
356309:8057,07/27/22 19:56:02,124,124,11928422.156350020,11076140.036492743
356316:8058,07/27/22 23:40:02,141,141,9592456.191343281,9398702.612457329
356322:8059,07/28/22 03:35:06,19,19,2306541.870956629,2089155.740623136
356323:8059,07/28/22 03:45:01,649,649,76729238.781247616,72932835.116889343
